codigo;titulo;tipo;revisao;data_revisao;data_aprovacao;setor;area;elaborador;revisor;aprovador;numero;descricao;proxima_revisao;data_validade;documentos_controlados
DEX.070;NR 35 - Trabalho em Altura;DEX;0;28/12/2021;23/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.071;Lei Nº 6.367, de 19 de Outubro de 1976;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;09/09/2026;Sim
DEX.072;Lei Nº 6.514, de 22 de Dezembro de 1977;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.073;Lei Nº 8.213, de 24 de Julho de 1991;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.074;Design and Use Of;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.075;Essilor Machinery Safety Policy;DEX;0;28/12/2021;28/12/2021;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.076;NR-12 - Segurança no Trabalho em Máquinas e Equipamentos;DEX;0;28/12/2021;10/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.148;EMS - Acceptance Report;DEX;0;28/12/2021;10/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.149;Essilor Machinery Safety Guide;DEX;0;28/12/2021;10/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.150;Pre-Risk Assessment;DEX;0;28/12/2021;10/02/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.151;Verificação de Alinhamento de Aro;DEX;0;18/01/2022;31/01/2022;;;;;;;;09/06/2026;08/09/2026;Sim
DEX.152;Measurement of the Solid Content - HC - DO-ENG02.0476;DEX;8;11/03/2025;11/03/2025;;;;;;;;11/03/2026;11/06/2026;Sim
DEX.153;Measurement of Viscosity - HC - DO-ENG02.0838;DEX;6;11/03/2025;11/03/2025;;;;;;;;11/03/2026;09/06/2026;Sim
DEX.154;New Strip-K Formulation -  DO-ENGENG 02.1346;DEX;4;19/04/2022;20/09/2022;;;;;;;;13/09/2025;13/12/2025;Sim
DEX.156;DO-ENG02-1745 - Reception of Varnish and Primer Carboys e Incoming Tests;DEX;5;20/03/2024;17/04/2024;;;;;;;;17/04/2025;24/07/2026;Sim
DEX.157;Mithril 1.6 Maintenance - DO-ENG02.1348;DEX;12;02/04/2025;02/04/2025;;;;;;;;02/04/2026;02/07/2026;Sim
DEX.158;Chemical Solutions Preparation Methods for Dip Processes - DO-ENG02.484;DEX;8;19/04/2022;20/09/2022;;;;;;;;07/07/2026;06/10/2026;Sim
DEX.159;Preparation of Newstrip solution from C/11 Concentrated - DO-ENG02.1378;DEX;2;19/04/2022;20/09/2022;;;;;;;;07/07/2026;06/11/2026;Sim
DEX.161;Preparation and Maintenance of J2L9 Solution in Rx Hard Coat Production;DEX;2;20/04/2022;20/09/2022;;;;;;;;07/07/2026;06/11/2026;Sim
DEX.162;Water guideline in HC process - DO-ENG02.1324;DEX;4;20/04/2022;20/09/2022;;;;;;;;01/06/2026;31/08/2026;Sim
DEX.165;Manual de Compras Essilor - Orgalent;DEX;2;06/05/2022;18/10/2022;;;;;;;;20/09/2025;21/12/2025;Não
DEX.166;Modelo NOE NORIA Acompanhamento DO-ENG02.1348;DEX;0;24/05/2022;25/11/2024;;;;;;;;25/11/2025;23/02/2026;Sim
DEX.169;Nova Formulação de Strip-K - DO-ENGENG 02.1346;DEX;4;24/05/2022;10/10/2023;;;;;;;;09/10/2025;07/01/2026;Sim
DEX.172;Métodos de Preparação de Soluções Químicas para Processos de Mergulho - DO-ENG02.484;DEX;8;24/05/2022;10/10/2023;;;;;;;;09/10/2025;07/01/2026;Sim
DEX.173;Preparação de solução de Newstrip de C/11 Concentrado - DO-ENG02.1378;DEX;2;24/05/2022;10/10/2023;;;;;;;;09/10/2025;07/01/2026;Sim
DEX.174;Preparação e Manutenção da Solução J2L9 na Produção de Revestimento Duro Rx;DEX;3;02/12/2024;30/12/2024;;;;;;;;30/12/2025;30/03/2026;Sim
DEX.175;Diretriz de água no processo HC - DO-ENG02.1324;DEX;4;24/05/2022;10/10/2023;;;;;;;;09/10/2025;07/01/2026;Sim
DEX.176;NR 24 - Condições Sanitárias e de Conforto nos Locais de Trabalho;DEX;0;27/05/2022;27/05/2022;;;;;;;;27/05/2026;26/08/2026;Sim
DEX.178;ISTM 02258 - user_guide_SMR Thickness;DEX;0;10/07/2017;10/07/2017;;;;;;;;29/05/2026;28/08/2026;Sim
DEX.179;ISTM 09-069-05-EF - Selection of crown for reflectance measurement with SMR;DEX;5;10/06/2022;10/06/2022;;;;;;;;11/11/2025;10/02/2026;Sim
DEX.181;ABNT NBR ISO 8980-1:2021 Parte 1: Especificações para lentes de visão simples e multifocal;DEX;1;04/09/2023;04/09/2023;;;;;;;;04/09/2025;04/12/2025;Sim
DEX.182;ABNT NBR ISO 8980-3:2024 Parte 3: Especificações de transmitância e métodos de ensaio;DEX;2;08/10/2025;08/10/2025;;;;;;;Óptica oftálmica - Lentes para óculos acabadas e não cortadas Parte 3: Especificações de transmitância e métodos de ensaio;;;Sim
DEX.183;Crizal Prevencia UV35 Mithril 1.6 - DO-ENG02.0850;DEX;2;02/09/2022;10/10/2023;;;;;;;;09/10/2025;07/01/2026;Sim
DEX.184;LEI Nº 12.903, DE 14 DE JANEIRO DE 2008 - Constituição do Estado - RS;DEX;0;14/12/2022;14/12/2022;;;;;;;;14/12/2025;14/03/2026;Sim
DEX.188;AR Color Distribution Control;DEX;3;22/05/2023;03/07/2023;;;;;;;;02/07/2026;01/10/2026;Sim
